STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
MI,Michigan,S,S4MI00447,,Douglas,Troszak,"Troszak, Douglas",,W,,,,,4,0.00%,,,,,,,,
MI,Michigan,S,n/a,,,,,Total State Votes:,,"1,092,186",,,,"3,121,775",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
MN,Minnesota,S,S8MN00438 ,(I),Al,Franken,"Franken, Al",,DFL,"182,720",94.50%,,,"1,053,205",53.15%,,,,,W,,,
MN,Minnesota,S,S4MN00411,,Sandra,Henningsgard,"Henningsgard, Sandra",,DFL,"10,627",5.50%,,,,,,,,,,,,
MN,Minnesota,S,n/a,,,,,Party Votes:,DFL,"193,347",,,,,,,,,,,,,
MN,Minnesota,S,S4MN00346 ,,Mike,McFadden,"McFadden, Mike",,R,"129,601",71.74%,,,"850,227",42.91%,,,,,,,,
MN,Minnesota,S,S4MN00353,,Jim,Abeler,"Abeler, Jim",,R,"26,714",14.79%,,,,,,,,,,,,
MN,Minnesota,S,S2MN00290,,David,Carlson,"Carlson, David",,R,"16,449",9.10%,,,,,,,,,,,,
MN,Minnesota,S,S4MN00429,,Patrick D.,Munro,"Munro, Patrick D.",,R,"5,058",2.80%,,,,,,,,,,,,
MN,Minnesota,S,S4MN00023,,O.,Savior,"Savior, O.",,R,"2,840",1.57%,,,,,,,,,,,,
MN,Minnesota,S,n/a,,,,,Party Votes:,R,"180,662",,,,,,,,,,,,,
MN,Minnesota,S,S4MN00437,,Steve,Carlson,"Carlson, Steve",,IDP,"2,148",33.90%,,,"47,530",2.40%,,,,,,,,
MN,Minnesota,S,S4MN00403 ,,Kevin,Terrell,"Terrell, Kevin",,IDP,"1,376",21.72%,,,,,,,,,,,,
MN,Minnesota,S,S2MN00159 ,,Jack,Shepard,"Shepard, Jack",,IDP,"1,130",17.83%,,,,,,,,,,,,
MN,Minnesota,S,S6MN00382,,Stephen,Williams,"Williams, Stephen",,IDP,862,13.60%,,,,,,,,,,,,
MN,Minnesota,S,S4MN00452,,Tom,Books,"Books, Tom",,IDP,820,12.94%,,,,,,,,,,,,
MN,Minnesota,S,n/a,,,,,Party Votes:,IDP,"6,336",,,,,,,,,,,,,
MN,Minnesota,S,S4MN00445,,Heather ,Johnson,"Johnson, Heather ",,LIB,Unopposed,,,,"29,685",1.50%,,,,,,,,
MN,Minnesota,S,n/a,,,Scattered,Scattered,,W,,,,,881,0.04%,,,,,,,,
MN,Minnesota,S,n/a,,,,,Total State Votes:,,"380,345",,,,"1,981,528",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
MS,Mississippi,S,S8MS00055,(I),Thad,Cochran,"Cochran, Thad",,R,"156,313",49.02%,"194,972",51.01%,"378,481",59.90%,,,,,W,,,
MS,Mississippi,S,S4MS00120,,Chris,McDaniel,"McDaniel, Chris",,R,"157,728",49.46%,"187,249",48.99%,,,,,,,,,,
MS,Mississippi,S,S4MS00179,,Thomas L. ,Carey,"Carey, Thomas L. ",,R,"4,854",1.52%,,,,,,,,,,,,
MS,Mississippi,S,n/a,,,,,Party Votes:,R,"318,895",,"382,221",,,,,,,,,,,
MS,Mississippi,S,S4MS00138,,Travis W.,Childers,"Childers, Travis W.",,D,"63,548",74.01%,,,"239,439",37.89%,,,,,,,,
MS,Mississippi,S,S4MS00153,,Bill ,Marcy,"Marcy, Bill ",,D,"10,361",12.07%,,,,,,,,,,,,
MS,Mississippi,S,S4MS00146,,"William Bond, Jr.",Compton,"Compton, William Bond, Jr.",,D,"8,465",9.86%,,,,,,,,,,,,
MS,Mississippi,S,S4MS00161,,Jonathan,Rawl,"Rawl, Jonathan",,D,"3,492",4.07%,,,,,,,,,,,,
MS,Mississippi,S,n/a,,,,,Party Votes:,D,"85,866",,,,,,,,,,,,,
MS,Mississippi,S,S4MS00062,,Shawn,O'Hara,"O'Hara, Shawn",,REF,Unopposed,,,,"13,938",2.21%,,,,,,,,
MS,Mississippi,S,n/a,,,,,Total State Votes:,,"404,761",,"382,221",,"631,858",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
MT,Montana,S,S2MT00096,,Steve,Daines,"Daines, Steve",,R,"110,565",83.37%,,,"213,709",57.79%,,,,,W,,,
MT,Montana,S,S4MT00134,,Susan ,Cundiff,"Cundiff, Susan ",,R,"11,909",8.98%,,,,,,,,,,,,
MT,Montana,S,S4MT00092,,Champ,Edmunds,"Edmunds, Champ",,R,"10,151",7.65%,,,,,,,,,,,,
MT,Montana,S,n/a,,,,,Party Votes:,R,"132,625",,,,,,,,,,,,,
MT,Montana,S,S4MT00159,,Amanda,Curtis,"Curtis, Amanda #",,D,#,,,,"148,184",40.07%,,,,,,"#  John Walsh withdrew on August 8, 2014, and Amanda Curtis was selected by the party at a nominating convention on August 16, 2014, to fill the vacancy on the general election ballot.",,
MT,Montana,S,S4MT00118,(I),John ,Walsh,"Walsh, John #",,D,"48,665",64.03%,,,,,,,,,,"#  John Walsh withdrew on August 8, 2014, and Amanda Curtis was selected by the party at a nominating convention on August 16, 2014, to fill the vacancy on the general election ballot.",,
MT,Montana,S,S4MT00126,,John ,Bohlinger,"Bohlinger, John ",,D,"17,187",22.61%,,,,,,,,,,,,
MT,Montana,S,S4MT00100,,Dirk S.,Adams,"Adams, Dirk S.",,D,"10,139",13.34%,,,,,,,,,,,,
MT,Montana,S,n/a,,,Scattered,Scattered,,W(D),11,0.01%,,,,,,,,,,,,
MT,Montana,S,n/a,,,,,Party Votes:,D,"76,002",,,,,,,,,,,,,
MT,Montana,S,S4MT00142,,Roger,Roots,"Roots, Roger",,LIB,Unopposed,,,,"7,933",2.15%,,,,,,,,
MT,Montana,S,n/a,,,,,Total State Votes:,,"208,627",,,,"369,826",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
NE,Nebraska,S,S4NE00090 ,,Ben,Sasse,"Sasse, Ben",,R,"108,443",49.54%,,,"347,636",64.34%,,,,,W,,,
NE,Nebraska,S,S4NE00116 ,,Sid ,Dinsdale,"Dinsdale, Sid ",,R,"49,026",22.40%,,,,,,,,,,,,
NE,Nebraska,S,S4NE00074,,Shane,Osborn,"Osborn, Shane",,R,"45,952",20.99%,,,,,,,,,,,,
NE,Nebraska,S,S4NE00082 ,,Bart ,McLeay,"McLeay, Bart ",,R,"12,348",5.64%,,,,,,,,,,,,
NE,Nebraska,S,S4NE00132 ,,Clifton R.,Johnson,"Johnson, Clifton R.",,R,"3,110",1.42%,,,,,,,,,,,,
NE,Nebraska,S,n/a,,,,,Party Votes:,R,"218,879",,,,,,,,,,,,,
NE,Nebraska,S,S4NE00090 ,,Ben,Sasse,"Sasse, Ben",,N(R),"2,359",39.95%,,,,,,,,,,,,
NE,Nebraska,S,S4NE00116 ,,Sid ,Dinsdale,"Dinsdale, Sid ",,N(R),"1,468",24.86%,,,,,,,,,,,,
NE,Nebraska,S,S4NE00074,,Shane,Osborn,"Osborn, Shane",,N(R),"1,386",23.47%,,,,,,,,,,,,
NE,Nebraska,S,S4NE00082 ,,Bart ,McLeay,"McLeay, Bart ",,N(R),492,8.33%,,,,,,,,,,,,
NE,Nebraska,S,S4NE00132 ,,Clifton R.,Johnson,"Johnson, Clifton R.",,N(R),200,3.39%,,,,,,,,,,,,
NE,Nebraska,S,n/a,,,,,Party Votes:,N(R),"5,905",,,,,,,,,,,,,
NE,Nebraska,S,S4NE00140 ,,Dave,Domina,"Domina, Dave",,D,"44,487",67.44%,,,"170,127",31.49%,,,,,,,,
NE,Nebraska,S,S8NE00141,,Larry ,Marvin,"Marvin, Larry ",,D,"21,483",32.56%,,,,,,,,,,,,
NE,Nebraska,S,n/a,,,,,Party Votes:,D,"65,970",,,,,,,,,,,,,
NE,Nebraska,S,S4NE00140 ,,Dave,Domina,"Domina, Dave",,N(DEM),"1,161",73.39%,,,,,,,,,,,,
NE,Nebraska,S,S8NE00141,,Larry ,Marvin,"Marvin, Larry ",,N(DEM),421,26.61%,,,,,,,,,,,,
NE,Nebraska,S,n/a,,,,,Party Votes:,N(DEM),"1,582",,,,,,,,,,,,,
NE,Nebraska,S,S4NE00124 ,,Jim,Jenkins,"Jenkins, Jim",,BP,,,,,"15,868",2.94%,,,,,,,,
NE,Nebraska,S,S4NE00157 ,,Todd F.,Watson,"Watson, Todd F.",,BP,,,,,"6,260",1.16%,,,,,,,,
NE,Nebraska,S,n/a,,,Scattered,Scattered,,W,,,,,446,0.08%,,,,,,,,
NE,Nebraska,S,n/a,,,,,Total State Votes:,,"292,336",,,,"540,337",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
NH,New Hampshire,S,S0NH00219,(I),Jeanne,Shaheen,"Shaheen, Jeanne",,D,"39,282",97.83%,,,"251,184",51.46%,,,,,W,,,
NH,New Hampshire,S,S4NH00120,,Scott P.,Brown,"Brown, Scott P.",,W(D),363,0.90%,,,,,,,,,,,,
NH,New Hampshire,S,n/a,,,Scattered,Scattered,,W(D),245,0.61%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00112,,Jim,Rubens,"Rubens, Jim",,W(D),127,0.32%,,,,,,,,,,,,
NH,New Hampshire,S,S0NH00144,,Bob ,Smith,"Smith, Bob ",,W(D),123,0.31%,,,,,,,,,,,,
NH,New Hampshire,S,S2NH00124,,Mark W.,Farnham,"Farnham, Mark W.",,W(D),4,0.01%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00153,,Bob,Heghmann,"Heghmann, Bob",,W(D),4,0.01%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00161,,Walter W.,Kelly,"Kelly, Walter W.",,W(D),2,0.00%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00096,,Andy,Martin,"Martin, Andy",,W(D),2,0.00%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00138,,Robert,D'Arcy,"D'Arcy, Robert",,W(D),0,0.00%,,,,,,,,,,,,
NH,New Hampshire,S,n/a,,,,,Party Votes:,D,"40,152",,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00120,,Scott P.,Brown,"Brown, Scott P.",,R,"59,147",49.86%,,,"235,347",48.21%,,,,,,,,
NH,New Hampshire,S,S4NH00112,,Jim,Rubens,"Rubens, Jim",,R,"27,252",22.97%,,,,,,,,,,,,
NH,New Hampshire,S,S0NH00144,,Bob ,Smith,"Smith, Bob ",,R,"26,762",22.56%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00161,,Walter W.,Kelly,"Kelly, Walter W.",,R,"1,392",1.17%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00153,,Bob,Heghmann,"Heghmann, Bob",,R,789,0.67%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00096,,Andy,Martin,"Martin, Andy",,R,738,0.62%,,,,,,,,,,,,
NH,New Hampshire,S,S2NH00124,,Mark W.,Farnham,"Farnham, Mark W.",,R,737,0.62%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00146,,Miro,Dziedzic,"Dziedzic, Miro",,R,515,0.43%,,,,,,,,,,,,
NH,New Hampshire,S,S0NH00284,,Gerard,Beloin,"Beloin, Gerard",,R,503,0.42%,,,,,,,,,,,,
NH,New Hampshire,S,S4NH00138,,Robert,D'Arcy,"D'Arcy, Robert",,R,399,0.34%,,,,,,,,,,,,
NH,New Hampshire,S,S0NH00219,(I),Jeanne,Shaheen,"Shaheen, Jeanne",,W(R),220,0.19%,,,,,,,,,,,,
NH,New Hampshire,S,n/a,,,Scattered,Scattered,,W(R),183,0.15%,,,,,,,,,,,,
NH,New Hampshire,S,n/a,,,,,Party Votes:,R,"118,637",,,,,,,,,,,,,
NH,New Hampshire,S,n/a,,,Scattered,Scattered,,W,,,,,"1,628",0.33%,,,,,,,,
NH,New Hampshire,S,n/a,,,,,Total State Votes:,,"158,789",,,,"488,159",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
NJ,New Jersey,S,S4NJ00185 , (I),Cory ,Booker,"Booker, Cory ",,D,"202,129",100.00%,,,"1,043,866",55.84%,,,,,W,,,
NJ,New Jersey,S,n/a,,,,,Party Votes:,D,"202,129",,,,,,,,,,,,,
NJ,New Jersey,S,S8NJ00012 ,,Jeff,Bell,"Bell, Jeff",,R,"42,728",29.41%,,,"791,297",42.33%,,,,,,,,
NJ,New Jersey,S,S4NJ00169 ,,Richard J.,Pezzullo,"Pezzullo, Richard J.",,R,"38,130",26.24%,,,,,,,,,,,,
NJ,New Jersey,S,S4NJ00292 ,,Brian D.,Goldberg,"Goldberg, Brian D.",,R,"36,266",24.96%,,,,,,,,,,,,
NJ,New Jersey,S,S8NJ00285 ,,Murray,Sabrin,"Sabrin, Murray",,R,"28,183",19.40%,,,,,,,,,,,,
NJ,New Jersey,S,n/a,,,,,Party Votes:,R,"145,307",,,,,,,,,,,,,
NJ,New Jersey,S,S4NJ00318 ,,Joseph,Baratelli,"Baratelli, Joseph",,LIB,,,,,"16,721",0.89%,,,,,,,,
NJ,New Jersey,S,S4NJ00326,,Hank,Schroeder,"Schroeder, Hank",,EG,,,,,"5,704",0.31%,,,,,,,,
NJ,New Jersey,S,S8NJ00418,,Jeff,Boss,"Boss, Jeff",,IND,,,,,"4,513",0.24%,,,,,,,,
NJ,New Jersey,S,S2NJ00460,,Martin Eugene,LaVergne,"LaVergne, Martin Eugene",,DRP,,,,,"3,890",0.21%,,,,,,,,
NJ,New Jersey,S,S4NJ00243 ,,Antonio N.,Sabas,"Sabas, Antonio N.",,IND,,,,,"3,544",0.19%,,,,,,,,
NJ,New Jersey,S,n/a,,,,,Total State Votes:,,"347,436",,,,"1,869,535",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
NM,New Mexico,S,S8NM00184,(I),Tom,Udall,"Udall, Tom",,D,"113,502",100.00%,,,"286,409",55.56%,,,,,W,,,
NM,New Mexico,S,n/a,,,,,Party Votes:,D,"113,502",,,,,,,,,,,,,
NM,New Mexico,S,S4NM00100,,Allen E. ,Weh,"Weh, Allen E. ",,R,"41,566",63.00%,,,"229,097",44.44%,,,,,,,,
NM,New Mexico,S,S4NM00092,,David Kale ,Clements,"Clements, David Kale ",,R,"24,413",37.00%,,,,,,,,,,,,
NM,New Mexico,S,n/a,,,,,Party Votes:,R,"65,979",,,,,,,,,,,,,
NM,New Mexico,S,n/a,,,,,Total State Votes:,,"179,481",,,,"515,506",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
NC,North Carolina,S,S4NC00162,,Thom,Tillis,"Tillis, Thom",,R,"223,174",45.68%,,,"1,423,259",48.82%,,,,,W,,,
NC,North Carolina,S,S4NC00147,,Greg,Brannon,"Brannon, Greg",,R,"132,630",27.15%,,,,,,,,,,,,
NC,North Carolina,S,S4NC00154,,Mark,Harris,"Harris, Mark",,R,"85,727",17.55%,,,,,,,,,,,,
NC,North Carolina,S,S4NC00170,,Heather,Grant,"Grant, Heather",,R,"22,971",4.70%,,,,,,,,,,,,
NC,North Carolina,S,S2NC00141,,Jim,Snyder,"Snyder, Jim",,R,"9,414",1.93%,,,,,,,,,,,,
NC,North Carolina,S,S4NC00220,,Ted,Alexander,"Alexander, Ted",,R,"9,258",1.89%,,,,,,,,,,,,
NC,North Carolina,S,S4NC00246,,Alex Lee,Bradshaw,"Bradshaw, Alex Lee",,R,"3,528",0.72%,,,,,,,,,,,,
NC,North Carolina,S,S4NC00196,,Edward,Kryn,"Kryn, Edward",,R,"1,853",0.38%,,,,,,,,,,,,
NC,North Carolina,S,n/a,,,,,Party Votes:,R,"488,555",,,,,,,,,,,,,
NC,North Carolina,S,S8NC00239,(I),Kay,Hagan,"Hagan, Kay",,D,"372,209",77.16%,,,"1,377,651",47.26%,,,,,,,,
NC,North Carolina,S,S4NC00212,,Will,Stewart,"Stewart, Will",,D,"66,903",13.87%,,,,,,,,,,,,
NC,North Carolina,S,S4NC00238,,Ernest T.,Reeves,"Reeves, Ernest T.",,D,"43,257",8.97%,,,,,,,,,,,,
NC,North Carolina,S,n/a,,,,,Party Votes:,D,"482,369",,,,,,,,,,,,,
NC,North Carolina,S,S2NC00257,,Sean,Haugh,"Haugh, Sean",,LIB,"1,226",60.69%,,,"109,100",3.74%,,,,,,,,
NC,North Carolina,S,S4NC00253,,Tim,D'Annunzio,"D'Annunzio, Tim",,LIB,794,39.31%,,,,,,,,,,,,
NC,North Carolina,S,n/a,,,,,Party Votes:,LIB,"2,020",,,,,,,,,,,,,
NC,North Carolina,S,n/a,,,Scattered,Scattered,,W,,,,,"4,307",0.15%,,,,,,,,
NC,North Carolina,S,S4NC00287,,John ,Rhodes,"Rhodes, John ",,W,,,,,621,0.02%,,,,,,,,
NC,North Carolina,S,S4NC00295,,David,Waddell,"Waddell, David",,W,,,,,201,0.01%,,,,,,,,
NC,North Carolina,S,S4NC00279,,Barry,Gurney,"Gurney, Barry",,W,,,,,142,0.00%,,,,,,,,
NC,North Carolina,S,n/a,,,,,Total State Votes:,,"972,944",,,,"2,915,281",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00083,(I),Jim,Inhofe,"Inhofe, Jim",,R,"231,291",87.68%,,,"558,166",68.01%,,,,,W,,,
OK,Oklahoma,S  - FULL TERM,S8OK00241,,Evelyn L.,Rogers,"Rogers, Evelyn L.",,R,"11,960",4.53%,,,,,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00299,,Erick Paul,Wyatt,"Wyatt, Erick Paul",,R,"11,713",4.44%,,,,,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00323,,Rob,Moye,"Moye, Rob",,R,"4,846",1.84%,,,,,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00315,,D. Jean,McBride-Samuels,"McBride-Samuels, D. Jean",,R,"3,965",1.50%,,,,,,,,,,,,
OK,Oklahoma,S  - FULL TERM,n/a,,,,,Party Votes:,R,"263,775",,,,,,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00216,,Matt,Silverstein,"Silverstein, Matt",,D,Unopposed,,,,"234,307",28.55%,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00224,,Joan,Farr,"Farr, Joan",,IND,,,,,"10,554",1.29%,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00349,,Ray,Woods,"Woods, Ray",,IND,,,,,"9,913",1.21%,,,,,,,,
OK,Oklahoma,S  - FULL TERM,S4OK00331,,Aaron,DeLozier,"DeLozier, Aaron",,IND,,,,,"7,793",0.95%,,,,,,,,
OK,Oklahoma,S  - FULL TERM,n/a,,,,,Total Full Term State Votes:,,"263,775",,,,"820,733",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00232,,James,Lankford,"Lankford, James",,R,"152,749",57.24%,,,"557,002",67.85%,,,,,W,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00257,,T. W.,Shannon,"Shannon, T. W.",,R,"91,854",34.42%,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00240,,Randy,Brogdon,"Brogdon, Randy",,R,"12,934",4.85%,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00281,,Kevin,Crow,"Crow, Kevin",,R,"2,828",1.06%,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00364,,Andy,Craig,"Craig, Andy",,R,"2,427",0.91%,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00265,,Eric C.,McCray,"McCray, Eric C.",,R,"2,272",0.85%,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00273,,Jason,Weger,"Weger, Jason",,R,"1,794",0.67%,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,n/a,,,,,Party Votes:,R,"266,858",,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00307,,Connie,Johnson,"Johnson, Connie",,D,"71,462",,"54,762",57.99%,"237,923",28.98%,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S2OK00095,,Jim,Rogers,"Rogers, Jim",,D,"57,598",35.34%,"39,664",42.01%,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00356,,Patrick Michael,Hayes,"Hayes, Patrick Michael",,D,"33,943",20.82%,,,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,n/a,,,,,Party Votes:,D,"163,003",,"94,426",,,,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,S4OK00372,,Mark T.,Beard,"Beard, Mark T.",,IND,,,,,"25,965",3.16%,,,,,,,,
OK,Oklahoma,S-UNEXPIRED TERM,n/a,,,,,Total Unexpired Term State Votes:,,"429,861",,"94,426",,"820,890",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
OR,Oregon,S,S8OR00207 ,(I),Jeff,Merkley,"Merkley, Jeff",,DEM/IP/PRO/WF,"277,120",92.04%,,,"814,537",55.73%,,,,,W,"*  The Constitution party nominated by convention on May 24, 2014 and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014. These nominees are noted with an asterisk.",,
OR,Oregon,S,S4OR00214,,William ,Bryk,"Bryk, William ",,D,"11,330",8.42%,,,,,,,,,,,,
OR,Oregon,S,S4OR00065 ,,Pavel ,Goberman,"Goberman, Pavel ",,D,"8,436",8.32%,,,,,,,,,,,,
OR,Oregon,S,n/a,,,Scattered,Scattered,,W(D),"4,194",23.02%,,,,,,,,,,,,
OR,Oregon,S,n/a,,,,,Party Votes:,D,"301,080",,,,,,,,,,,,,
OR,Oregon,S,S4OR00198 ,,Monica,Wehby,"Wehby, Monica",,R,"134,627",,,,"538,847",36.87%,,,,,,,,
OR,Oregon,S,S4OR00180 ,,Jason,Conger,"Conger, Jason",,R,"101,401",37.63%,,,,,,,,,,,,
OR,Oregon,S,S4OR00172 ,,Mark,Callahan ,"Callahan, Mark ",,R,"18,220",6.76%,,,,,,,,,,,,
OR,Oregon,S,S4OR00156 ,,Jo Rae ,Perkins,"Perkins, Jo Rae ",,R,"7,602",2.82%,,,,,,,,,,,,
OR,Oregon,S,S4OR00206 ,,Timothy I.,Crawley,"Crawley, Timothy I.",,R,"6,566",2.44%,,,,,,,,,,,,
OR,Oregon,S,n/a,,,Scattered,Scattered,,W(R),"1,027",0.38%,,,,,,,,,,,,
OR,Oregon,S,n/a,,,,,Party Votes:,R,"269,443",,,,,,,,,,,,,
OR,Oregon,S,S4OR00222,,Mike,Montchalin,"Montchalin, Mike",,LIB,*,,,,"44,916",3.07%,,,,,,"*  The Constitution party nominated by convention on May 24, 2014 and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014. These nominees are noted with an asterisk.",,
OR,Oregon,S,S4OR00263,,Christina Jean,Lugo,"Lugo, Christina Jean",,PG,*,,,,"32,434",2.22%,,,,,,"*  The Constitution party nominated by convention on May 24, 2014 and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014. These nominees are noted with an asterisk.",,
OR,Oregon,S,S4OR00255,,James E.,Leuenberger,"Leuenberger, James E.",,CON,*,,,,"24,212",1.66%,,,,,,"*  The Constitution party nominated by convention on May 24, 2014 and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014. These nominees are noted with an asterisk.",,
OR,Oregon,S,n/a,,,Scattered,Scattered,,W,,,,,"6,672",0.46%,,,,,,,,
OR,Oregon,S,n/a,,,,,Total State Votes:,,"570,523",,,,"1,461,618",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
RI,Rhode Island,S,S6RI00163,(I),John F.,Reed,"Reed, John F.",,D,"98,816",100.00%,,,"223,675",70.58%,,,,,W,,,
RI,Rhode Island,S,n/a,,,,,Party Votes:,D,"98,816",,,,,,,,,,,,,
RI,Rhode Island,S,S4RI00044,,Mark S.,Zaccaria,"Zaccaria, Mark S.",,R,"23,787",100.00%,,,"92,684",29.25%,,,,,,,,
RI,Rhode Island,S,n/a,,,,,Party Votes:,R,"23,787",,,,,,,,,,,,,
RI,Rhode Island,S,n/a,,,Scattered,Scattered,,W,,,,,531,0.17%,,,,,,,,
RI,Rhode Island,S,n/a,,Bob,Healy,"Healy, Bob",,W,,,,,8,0.00%,,,,,,,,
RI,Rhode Island,S,n/a,,,,,Total State Votes:,,"122,603",,,,"316,898",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S0SC00149,(I),Lindsey,Graham,"Graham, Lindsey",,R,"178,833",56.42%,,,"672,941",54.27%,,,,,W,,,
SC,South Carolina,S   (Full Term),S4SC00273,,Lee,Bright,"Bright, Lee",,R,"48,904",15.43%,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S4SC00265,,Richard,Cash,"Cash, Richard",,R,"26,325",8.30%,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S4SC00323,,Det,Bowers,"Bowers, Det",,R,"23,172",7.31%,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S4SC00281,,Nancy,Mace,"Mace, Nancy",,R,"19,634",6.19%,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S4SC00299,,Bill,Connor,"Connor, Bill",,R,"16,912",5.34%,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S4SC00349,,Benjamin ,Dunn,"Dunn, Benjamin ",,R,"3,209",1.01%,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),n/a,,,,,Party Votes:,R,"316,989",,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S4SC00364,,Brad,Hutto,"Hutto, Brad",,WF,*,,,,"24,207",1.95%,,,"480,933",38.78%,,"* The American Party and the Libertarian Party each nominated by convention on May 10, 2014, and the Working Families Party nominated by convention on August 14, 2014.  Convention nominees are noted with an asterisk.",,
SC,South Carolina,S   (Full Term),S4SC00364,,Brad,Hutto,"Hutto, Brad",,D,"87,552",76.65%,,,"456,726",36.83%,,,"480,933",38.78%,,,,
SC,South Carolina,S   (Full Term),S4SC00257,,Jay,Stamper,"Stamper, Jay",,D,"26,678",23.35%,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),n/a,,,,,Party Votes:,D,"114,230",,,,,,,,,,,,,
SC,South Carolina,S   (Full Term),S2SC00079,,Victor,Kocher,"Kocher, Victor",,LIB,*,,,,"33,839",2.73%,,,,,,"* The American Party and the Libertarian Party each nominated by convention on May 10, 2014, and the Working Families Party nominated by convention on August 14, 2014.  Convention nominees are noted with an asterisk.",,
SC,South Carolina,S   (Full Term),S4SC00109,,Thomas,Ravenel,"Ravenel, Thomas",,PET,,,,,"47,588",3.84%,,,,,,,,
SC,South Carolina,S   (Full Term),n/a,,,Scattered,Scattered,,W,,,,,"4,774",0.38%,,,,,,,,
SC,South Carolina,S   (Full Term),n/a,,,,,Total State Votes (Full Term):,,"431,219",,,,"1,240,075",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
